REG_ID_ENR,OTHER_INSTITUTION_AUTRE
511228,OFFICE DE LA PROPRIÉTÉ INTELLECTUELLE DU CANADA
511235,Investment Canada
511236,Office of the Superintendent of Financial Institutions
511240,Scientific Research and Experimental Development Business Group
511250,Canadian Institutes for Health Research
511266,Sport
511266,Infrastructure
511279,Canadian Patient Safety Institute
511279,Canada Health Infoway
511279,Office of the Auditor General
511279,Canadian Institute for Health Information
511279,Intergovernmental Affairs
511279,Health Council of Canada
511295,Meteorological Services of Canada
511295,Office of the Superintendent of Financial Institutions
511309,Intergovernmental Affairs
511320,VARIOUS MEMBERSOF PARLIAMENT AND GOVERNMENT OFFICIALS
511339,Investment Review Agency
511339,Technology Partnership Canada
511341,Aboriginal Affairs
511366,"The Canadian Consulates in Houston, Dallas and Seattle"
511366,The Canadian Embassy in Washington
511366,The Council of Energy Ministers
511387,FedNor
511390,Public Safety & Emergency Preparedness
499102,Pacific Gateway
499103,Regional Development
499103,Pacific Gateway
499109,PUBLIC SAFETY & EMERCENTY PREPAREDNESS CANADA
499110,PUBLIC SAFETY & EMERGENCY PREPAREDNESS CANADA
499128,Public Safety and Emergency Preparedness
499128,Services Canada
499128,Aboriginal Affairs
499129,Atlantic Canada Innovation Fund
499129,Cape Breton Growth Fund
499139,MP'S & REGIONAL DEVLEOPMENT AGENCIES
499153,PUBLIC SAFETY & EMERGENCY PREPAREDNESS CANADA
499160,CIHR
499161,CIHR
499168,Public Safety & Emergency Preparedness Canada
499169,Office of the Superintendent of Financial Institutions
499180,PEST MANAGEMENT REGISTRY AGENCY
499181,PEST MANAGEMENT REGISTRY AGENCY
499182,Canadian Council on Learning
499187,RCMP
499193,Office of the Auditor General
499193,PMO
499193,Senate (Senators)
499196,CANADA ECONOMIC DEVELOPMENT FOR QUEBEC REGION
499197,SDTC
499207,Department of Public Safety and Emergency Preparedness
499208,Canada Foundation for Innovation
499209,M.P.'s
499218,CIMLATE CHANGE SECRETARIATE
499218,CANADIAN CUSTOMS & REVENUE AGENCY
499218,OFFICE OF THE PRIME MINISTER
499219,Office of the Superintendent of Financial Institutions
499219,Interprovincial Trade
499225,FedNor
499226,Office of the Superintendent of Financial Institutions
499251,Members of Parliament
499267,"Ad Hoc Cabinet Committee on Sustainability, the Environment Commons Standing Committee on Environment and Sustainable Development, Atlantic Canada Members of Parliament and Prime Minister's Office"
499269,The Senate of Canada (Senators)
499293,Artists and Producers Professional Relations Tribunal
499295,FedNor
499308,M.P.'s
499311,Members of Parliament
499313,M.P.'s
499317,CANADA FOUNDATION FOR INNOVATION
499317,MEMBERS OF PARLIAMENT
499322,LABOUR CANADA
499334,CLIMATE CHANGE SECRETARIAT
499335,"CANADIAN DAIRY COMMISSION, CANADIAN WHEAT BOARD"
499349,Office of the commissioner for Aquaculture Development
499356,PUBLIC SAFETY & EMERGENCY PREPAREDNESS
499356,STANDING COMMITTEE ON TRANSPORTATION
499368,Office of the Superintendent of Financial Institutions
499371,"OSFI, FCAC, Competition Bureau, Bank of Canada"
499374,Canadian Artists and Producers Professional Relations Tribunal
499379,Office of the Superintendent of Financial Institutions
499383,CROWN CORPORATIONS
499383,LABOUR
499384,Members of Parliament
499386,PUBLIC SAFTEY & EMERGENCY PREPAREDNESS
499386,CANADIAN SECURITY INTELLIGENCE SERVICES
499386,STANDING COMMITTEE ON TRANSPORTATION
499387,PUBLIC SAFETY & EMERGENCY PREPAREDNESS
499387,CANADIAN SECURITY INTELLIGENCE SERVICES
499387,STANDING COMMITTEE ON TRANSPORT
499389,PUBLIC SAFETY & EMERGENCY PREPAREDNESS
499389,STANDING COMMITTEE ON TRANSPORTATION
499390,PUBLIC SAFETY & EMERGENCY PREPAREDNESS
