Filing Date,Termination Date,Organization,Client Name,Designated Filer,Government Department Lobbied,Prescribed Provincial Entity Lobbied,Subject Matter of Lobbying,Registration Number,Type of Lobbyist,Lobbyists,Type of Registration,Registration Status,View
2022-08-17,-,Alberta Counsel,Town of Castor,Jonathon Wescott,"Alberta Municipal Affairs, Alberta Health, Alberta Legislative Assembly, Alberta Seniors and Housing, Premier's Office",-,Seniors issues,CL-12598-02,Consultant Lobbyist,"Votham Anastasiadis, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, James Johnson, Zack Ziolkowski, Aileen Burke, Aaron Singleton, Sydney McHale, Al Kemmere, Alexandra Carlile, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-17,-,Alberta Counsel,Alberta International Airshow,Jonathon Wescott,"Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Culture and Status of Women, Alberta Transportation, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Economic Development,CL-12741-02,Consultant Lobbyist,"Zack Ziolkowski, Votham Anastasiadis, Aaron Singleton, Alexandra Carlile, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, James Johnson, Aileen Burke, Sydney McHale",Notice of Change,Archived,View 
2022-08-17,-,Alberta Counsel,Alberta Crown Attorneys' Association,Jonathon Wescott,"Executive Council, Alberta Municipal Affairs, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Premier's Office",-,Justice and Law Enforcement,CL-12602-02,Consultant Lobbyist,"Shayne Saskiw, Jonathon Wescott, Pascal Ryffel, Zack Ziolkowski, Aaron Singleton, Aileen Burke, Sydney McHale, Alexandra Carlile, James Johnson, Heather Fernbusch",Notice of Change,Archived,View 
2022-08-17,-,Counsel Public Affairs Inc.,GlaxoSmithKline Inc.,Philip Dewan,"Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Seniors and Housing",-,Health,CL-12854-01,Consultant Lobbyist,T.J. Keil,Initial Return,Archived,View 
2022-08-17,2022-10-31,Alberta Counsel,CNIB Alberta and NWT,Jonathon Wescott,"Alberta Children’s Services, Alberta Community and Social Services, Alberta Education, Alberta Health, Alberta Legislative Assembly, Alberta Advanced Education, Premier's Office",-,K-12 Education,CL-12482-03,Consultant Lobbyist,"Heather Fernbusch, Votham Anastasiadis, James Johnson, Jonathon Wescott, Pascal Ryffel, Shayne Saskiw, Zack Ziolkowski, Aileen Burke, Alexandra Carlile, Aaron Singleton, Sydney McHale",Notice of Change,Terminated,View 
2022-08-16,2022-11-08,Sustaining Alberta's Energy Network Ltd.,-,Kristoffer Kinnear,"Alberta Environment and Parks, Alberta Energy, Alberta Municipal Affairs",-,"Energy, Environment, Municipal Affairs",OL-11883-05,Organization Lobbyist,Kristoffer Kinnear,Semi-Annual Renewal,Terminated,View 
2022-08-16,-,StrategyCorp Inc.,Alberta Association of Osteopathic Manual Therapists,John Matheson,"Executive Council, Alberta Health, Alberta Legislative Assembly, Premier's Office, Alberta Advanced Education",-,"Employment and Training, Health",CL-12855-01,Consultant Lobbyist,"Garry Keller, Matthew Conley",Initial Return,Archived,View 
2022-08-16,-,Cenovus Energy Inc.,-,Alex Pourbaix,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Infrastructure, Alberta Energy, Alberta Municipal Affairs, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Alberta Justice and Solicitor General, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office","Alberta Petroleum Marketing Commission, Alberta Utilities Commission, Alberta Energy Regulator, Alberta Electric System Operator","Taxes and Finance, Energy, Environment, Indigenous Relations, Municipal Affairs, Workplace Safety, Infrastructure, Labour Relations",OL-10248-27,Organization Lobbyist,"Alex Pourbaix, Jessica Player, Jeff Nail, Sharla Howard, Devin Iversen, Owen Henshaw, Alisha Bhura, Sam Murphy, Norrie Ramsay, Jeff Jeworski, Andrew Straile, Trent Zacharias, Kendall Dilling, Drew Zieglgansberger, Lindsay Reynolds, Grant Pellegrin, Michael Cody, Ted Johnson, Jamie Agnew, Greg Cave, Jared Robertson, Kam Sandhar, Michael Wilson, Jillian Falls, Brooke Lindsey, Geoff Murray, Gary Molnar, Sean Hiebert, Michael Penner, Eric Wakley, Michele Waters, Sherry Wendt, Brett Wiens, Troy Peterson, Jennifer Shalagan, Shannon McDougall, Anamika Mukherjee, Travis Davies, Ray Lambert, Rhona DelFrari, Susan Grey, Suzanne Smith, Mike Plettel, Charles Gobin, Darwin Bateyko, Shane Cooke, Shelley Machon, Keith Chiasson, Amos Ben-Zvi, Patrick McKay, Prince Azom, Chris Moody, Claire Hong, Tony Jackson, Scott Hillier, Jim Lytle, Tyler Tarnoczi, Jon McKenzie, Morgan Wrishko, Andrea Louise-Martyn",Notice of Change,Archived,View 
2022-08-16,-,Enbridge Inc.,-,Al Monaco,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Indigenous Relations, Executive Council, Alberta Health, Alberta Treasury Board and Finance, Premier's Office","Alberta Petroleum Marketing Commission, Alberta Health Services, Alberta Innovates, Alberta Energy Regulator, Invest Alberta Corporation, Alberta Indigenous Opportunities Corporation","Energy, Environment, Municipal Affairs, Indigenous Relations, Wildlife",OL-10294-29,Organization Lobbyist,"Jeff Kler, Kim Brenneis, Santiago Arribas Picon, Edwin Makkinga, Richard Paglia, Chad Dechaine, Sam Munckhof-Swain, Islam Elsayed, Matthew Akman, Graham Shanks, Emily Black, Jason Kearns, Trevor McLeod, Brian Johnson, Marlon Samuel, Laszlo Varsanyi, Matt Grant, Mike Gladstone, Vern Yu, Al Monaco, Bob Rooney, Amanda Affonso, Brittany Kelly, Byron Neiles, Tom Palak, Mike Fernandez, Adam Chalkley, Phillip Anderson, Nadine Barber, Colin Gruending, Leo Golden, Geoff Holmlund",Semi-Annual Renewal,Archived,View 
2022-08-16,-,New West Public Affairs,Banff Centre for Arts and Creativity,Monte Solberg,"Alberta Infrastructure, Executive Council, Alberta Culture and Status of Women, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education",-,Infrastructure,CL-12851-01,Consultant Lobbyist,"Gordon Olsen, Sarah Painchaud, Graham Gerein, Fahreen Budwhani, Monte Solberg, Matt Solberg, Michael Solberg, Keith McLaughlin, Sonia Kont",Initial Return,Archived,View 
2022-08-15,-,Ovintiv Canada ULC,-,Corey Code,"Alberta Environment and Parks, Alberta Energy, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Treasury Board and Finance, Premier's Office","Alberta Innovates, Alberta Energy Regulator","Energy, Climate, Taxes and Finance, Environment, Municipal Affairs, Indigenous Relations, Economic Development, Wildlife",OL-10288-46,Organization Lobbyist,"Kellen Foreman, David Lye, Paul Giesbrecht, Parmjeet Virdee, Marawan ElSayed, Daniel Dunlop, Jennifer Blaney, Jason Blanch",Notice of Change,Archived,View 
2022-08-15,-,Canadian Beverage Association,-,Krista Scaldwell,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Jobs, Economy and Innovation, Alberta Health, Alberta Treasury Board and Finance, Premier's Office",-,"Health, Taxes and Finance, Environment",OL-10251-16,Organization Lobbyist,"Jim Goetz, Carolyn Fell, Alex Greco",Semi-Annual Renewal,Archived,View 
2022-08-15,-,TC Energy Corporation,-,Francois Poirier,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Indigenous Relations, Alberta Municipal Affairs, Service Alberta, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office","Alberta Health Services, Alberta Utilities Commission, Alberta Innovates, Alberta Energy Regulator, Alberta Electric System Operator, Market Surveillance Administrator","Energy, Health, Procurement, Environment, Indigenous Relations, Municipal Affairs, Transportation, Wildlife",OL-10499-52,Organization Lobbyist,"Dave Forestell, Riley Baldwin, Keith Nelson, Michael Schmaltz, Patrick Keys, Robert Tarvydas, Kirk Wasylik, Wendell Klassen, Ana Maria Radu, Mel Garner, Timothy Lam, Stefan Skocylas, Wade Pruett, Greg Grant, Graeme Wright, Lindsay MacKay, Luke Meredith, Julia Jensen, Duane Alexander, Christopher Vivone, Fareen Sunderji, Kristin Anderson, Holly Waldorf, Tisha Homer, Alex Harris, Blaine Trout, Francois Poirier, Mark Thompson, Richard Prior, Jay White, Ken Brink, Jawad Masud, Bevin Wirzba, Joe Zhou, Mark Blundell, Sheldon Good, Patrick Muttart, Ryan Laverty, Corey Hessen, Karla Palardy, Andrew Isherwood, Omar Khayum",Notice of Change,Archived,View 
2022-08-15,-,Pathways Alliance Inc.,-,Kendall Dilling,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation",Alberta Energy Regulator,Energy,OL-11358-12,Organization Lobbyist,"Kendall Dilling, Antonio Vicens Guzman, Daniel Doll, Wesley Jickling, Kerri Romanetz, Lucas Barr, Stephen Arseniuk, Peter Beaudoin, Robert Mugo, John Brogly, Jack O’Neill, Chris Godwaldt, Tyler Veness",Semi-Annual Renewal,Archived,View 
2022-08-15,-,ENMAX Corporation,-,Charles Ruigrok,"Alberta Energy, Executive Council, Service Alberta, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Utilities Commission, Alberta Innovates, Alberta Electric System Operator, Balancing Pool, Invest Alberta Corporation, Market Surveillance Administrator","Energy, Consumer Issues, Environment",OL-10279-63,Organization Lobbyist,"Janene Taylor, Greg Retzer, Sheizana Murji, Rose Ferrer, Tracy Coutts, Shiv Kumar, Jana Mosley, Terri-Lynn Duque, Sarah Stevens, Timothy Boston, Chris Joy, Chris McCleave, Mark McGillivray, Randall Stubbings, Erica Young, Charles Ruigrok",Semi-Annual Renewal,Archived,View 
2022-08-15,-,Rogers Communications Inc.,-,Anthony Staffieri,"Alberta Infrastructure, Executive Council, Service Alberta, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission","Economic Development, Telecommunications",OL-11422-12,Organization Lobbyist,"Ted Woodhead, Heidi Bonnell, Susan Wheeler, Cheryl Fougere, Victoria Smith, Dean Prevost, Karen Holden, Anthony Staffieri, Larry Goerzen, Curtis Rowe",Notice of Change,Archived,View 
2022-08-15,-,Novartis Pharmaceuticals Canada Inc.,-,Andrea Marazzi,"Service Alberta, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Health, Alberta Treasury Board and Finance, Alberta Seniors and Housing, Premier's Office","University of Alberta, Alberta Health Services, University of Calgary",Health,OL-10496-25,Organization Lobbyist,"Helen Trifonopolous, Andrea Marazzi, Thea Discepola, Kimberly King, Caroline Barber, Sophie Rochon",Notice of Change,Archived,View 
2022-08-15,-,CNOOC Petroleum North America ULC,-,Yongjie Liu,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Premier's Office",-,"Energy, Environment, Trade, Economic Development",OL-10375-47,Organization Lobbyist,"Mike Dlugan, Scott Chalker, Michael MacPhee, Robbie Armfield",Notice of Change,Archived,View 
2022-08-12,-,Global Public Affairs,Inter Pipeline Ltd.,Randy Pettipas,"Alberta Environment and Parks, Alberta Energy, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance",-,"Energy, Economic Development",CL-11739-06,Consultant Lobbyist,"Cameron Brown, Pierre Alvarez, Jason Ennis, Randy Pettipas",Notice of Change,Archived,View 
2022-08-12,-,Edmonton Chamber of Commerce,-,Jeffrey Sundquist,"Alberta Labour and Immigration, Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Children’s Services, Alberta Community and Social Services, Alberta Jobs, Economy and Innovation, Executive Council, Service Alberta, Alberta Municipal Affairs, Alberta Justice and Solicitor General, Alberta Health, Alberta Culture and Status of Women, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education, Alberta Seniors and Housing",-,"Employment and Training, Budget, Taxes and Finance, Energy, Legal System, Justice and Law Enforcement, Citizenship and Immigration, Children’s Services, Trade, Economic Development, Sports, Housing",OL-11122-17,Organization Lobbyist,"Andrew Koning, Cadence Bergman, Jeffrey Sundquist, Alexandra Hryciw",Notice of Change,Archived,View 
2022-08-12,-,Global Public Affairs,Farming Smarter,Randy Pettipas,"Alberta Jobs, Economy and Innovation, Executive Council, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Agriculture,CL-12847-01,Consultant Lobbyist,"Melissa Carvalho, Jason Ennis, Jordan Pinkster, Paul Whittaker",Initial Return,Archived,View 
2022-08-11,-,Shell Canada Limited,-,Susannah Pierce,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Energy, Alberta Municipal Affairs, Alberta Agriculture, Forestry and Rural Economic Development",Alberta Energy Regulator,"Employment and Training, Energy, Royalties, Climate, Taxes and Finance, Environment",OL-10419-20,Organization Lobbyist,"Kristyn Moore, Patrick Forseth, Nick DiMarzo, Greg Krauss, Tracy Smith, Ryan Smith, Aurelio Zanni, Conal MacMillan, Brian Waters, Tim Wiwchar, Denise Chang-Yen, Robert Klager, Sarah Kassam, Andrew Ward, John Driedger, Brett Reynolds, Karen West, Erin Bradley, Paige Lawson, Dave Resch, Jordan Klassen, Cameron Yost, Leslie Zilm, Skye McConnell, Kim Code, Deanna Cottrell, Renata de Figueiredo Pinto, Kevin Brouwer, Celina Duong, Craig Mutch, Sonya Lam, Stuart Allen, Alexa Tomlinson, Tara Barnett, Sharon McTeer, Stephen Raye, Jodie Didow, Susannah Pierce, Carolyn Milne, Wendy Konsorada, Jana Masters",Notice of Change,Archived,View 
2022-08-10,2022-09-09,Fulcrum Advocacy,"Call2Recycle, Inc.",Wayne Snow,"Alberta Environment and Parks, Premier's Office",-,Environment,CL-12450-02,Consultant Lobbyist,Wayne Snow,Notice of Change,Terminated,View 
2022-08-10,2022-10-24,Prospectus Associates in Corporate Development,Refraction Asset Management,Bruce Hartley,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Indigenous Relations, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Premier's Office",Alberta Utilities Commission,"Utilities, Energy, Indigenous Relations",CL-12827-01,Consultant Lobbyist,Danylo Korbabicz,Initial Return,Terminated,View 
2022-08-10,-,Innovative Medicines Canada,-,Pamela Fralick,"Executive Council, Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Health, Alberta Education, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education",Alberta Health Services,"Budget, Employment and Training, Health, Procurement, Research and Development, Intergovernmental Relations, Economic Development",OL-10310-35,Organization Lobbyist,"Pascal Chan, Michael Dietrich, Pamela E Fralick, Conrad Bellehumeur, Anne-Sophie Belzile",Semi-Annual Renewal,Archived,View 
2022-08-09,-,EPCOR Utilities Inc.,-,Stuart Lee,"Alberta Environment and Parks, Alberta Energy, Alberta Municipal Affairs, Alberta Culture and Status of Women, Alberta Legislative Assembly",Alberta Utilities Commission,"Energy, Arts and Culture, Environment, Municipal Affairs",OL-10338-27,Organization Lobbyist,"Anthony Scozzafava, Saquib Chaudhary, Jay Baraniecki, Jed Johns, Jeffrey Bertram, Stuart Lee, Stephen Stanley, John Elford, Francesco Mannarino, Amanda Rosychuk, Kirsten Hull, Karim Kassam, Jennifer Addison, Martin Kennedy, Shawn Bradford, Coleen Dawson-Kuncio",Semi-Annual Renewal,Archived,View 
2022-08-09,-,DK Public Affairs,Kairos Cognitive Care,David Keto,"Alberta Labour and Immigration, Alberta Community and Social Services, Alberta Health","Alberta Health Services, Alberta Innovates","Health, Social programs",CL-12825-02,Consultant Lobbyist,David Keto,Notice of Change,Archived,View 
2022-08-05,2022-10-25,Nauticol Energy Ltd.,-,Mark Tonner,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Premier's Office",Alberta Indigenous Opportunities Corporation,"Energy, Indigenous Relations",OL-10887-14,Organization Lobbyist,"Rob Pockar, Bill Somerville, Terri Ellen Sudnik, Matthew Scorah, Mark Tonner",Semi-Annual Renewal,Terminated,View 
2022-08-05,-,Abbott Laboratories Co.,-,Philippe Busque,"Executive Council, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",Alberta Health Services,Health,OL-12740-03,Organization Lobbyist,"Denis Lapierre, Patricia Jill Kravinchuk, Martine Castonguay, Genevieve D'Annunzio",Notice of Change,Archived,View 
2022-08-04,-,Innovative Medicines Canada,-,Pamela Fralick,"Alberta Jobs, Economy and Innovation, Service Alberta, Executive Council, Alberta Education, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education",Alberta Health Services,"Employment and Training, Budget, Health, Procurement, Research and Development, Intergovernmental Relations, Economic Development",OL-10310-34,Organization Lobbyist,"Anne-Sophie Belzile, Conrad Bellehumeur, Pamela E Fralick, Michael Dietrich, Pascal Chan",Notice of Change,Archived,View 
